date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:28	22002/22002	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:27%20GMT	http://killtowndeathfest.com/2019/02/17/announcement-38-european-mainland-exclusive-one-off-for-mitochondrion-can/	killtowndeathfest.com/2019/02/17/announcement-38-european-mainland-exclusive-one-off-for-mitochondrion-can/index.html	(from http://killtowndeathfest.com/news/)
22:55:29	21475/21475	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:28%20GMT	http://killtowndeathfest.com/2019/02/15/announcement-36-one-off-exclusive-european-show-for-anatomia/	killtowndeathfest.com/2019/02/15/announcement-36-one-off-exclusive-european-show-for-anatomia/index.html	(from http://killtowndeathfest.com/news/)
22:55:29	20484/20484	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:28%20GMT	http://killtowndeathfest.com/2019/02/14/announcement-35-assumption-it/	killtowndeathfest.com/2019/02/14/announcement-35-assumption-it/index.html	(from http://killtowndeathfest.com/news/)
22:55:30	21204/21204	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:29%20GMT	http://killtowndeathfest.com/2019/02/13/announcement-34-presenting-the-first-ever-european-performance-of-black-curse-us/	killtowndeathfest.com/2019/02/13/announcement-34-presenting-the-first-ever-european-performance-of-black-curse-us/index.html	(from http://killtowndeathfest.com/news/)
22:55:30	23080/23080	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:29%20GMT	http://killtowndeathfest.com/2019/02/12/announcement-33-presenting-the-very-first-and-exclusive-one-off-european-performance-of-funeral-moth-jp-as-part-of-gloomy-sunday/	killtowndeathfest.com/2019/02/12/announcement-33-presenting-the-very-first-and-exclusive-one-off-european-performance-of-funeral-moth-jp-as-part-of-gloomy-sunday/index.html	(from http://killtowndeathfest.com/news/)
22:55:31	52460/52460	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:30%20GMT	http://killtowndeathfest.com/news/page/2/	killtowndeathfest.com/news/page/2/index.html	(from http://killtowndeathfest.com/news/)
22:55:31	16624/16624	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:30%20GMT	http://killtowndeathfest.com/2019/07/	killtowndeathfest.com/2019/07/index.html	(from http://killtowndeathfest.com/news/)
22:55:33	53580/53580	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:31%20GMT	http://killtowndeathfest.com/2019/02/	killtowndeathfest.com/2019/02/index.html	(from http://killtowndeathfest.com/news/)
22:55:33	51218/51218	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:31%20GMT	http://killtowndeathfest.com/2019/01/	killtowndeathfest.com/2019/01/index.html	(from http://killtowndeathfest.com/news/)
22:55:33	22246/22246	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:32%20GMT	http://killtowndeathfest.com/2018/09/	killtowndeathfest.com/2018/09/index.html	(from http://killtowndeathfest.com/news/)
22:55:33	28586/28586	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:32%20GMT	http://killtowndeathfest.com/2018/08/	killtowndeathfest.com/2018/08/index.html	(from http://killtowndeathfest.com/news/)
22:55:35	6236/6236	U-----	200	untouched ('OK')	text/css	etag:W/%225c34f794-185c%22	http://killtowndeathfest.com/wp-content/plugins/gigpress/css/gigpress.css?ver=4.9.9	killtowndeathfest.com/wp-content/plugins/gigpress/css/gigpressd87f.css	(from http://killtowndeathfest.com/news/)
22:55:35	20297/20297	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:33%20GMT	http://killtowndeathfest.com/2018/07/	killtowndeathfest.com/2018/07/index.html	(from http://killtowndeathfest.com/news/)
22:55:35	44305/44305	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:33%20GMT	http://killtowndeathfest.com/2018/02/	killtowndeathfest.com/2018/02/index.html	(from http://killtowndeathfest.com/news/)
22:55:36	44635/44635	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:34%20GMT	http://killtowndeathfest.com/2018/01/	killtowndeathfest.com/2018/01/index.html	(from http://killtowndeathfest.com/news/)
22:55:36	482/482	U-----	200	untouched ('')	application/javascript	etag:%225c34f795-1e2%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/script_2.1.2.js?ver=4.9.9	killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/script_2.1.2d87f.js	(from http://killtowndeathfest.com/news/)
22:55:36	1403/1403	U-----	200	untouched ('')	application/javascript	etag:W/%225c34f794-57b%22	http://killtowndeathfest.com/wp-includes/js/wp-embed.min.js?ver=4.9.9	killtowndeathfest.com/wp-includes/js/wp-embed.mind87f.js	(from http://killtowndeathfest.com/news/)
